"TIME","CURRENCY","UNIT","STATINFO","Value","Flag and Footnotes"
"1995M01","Icelandic krona","National currency","Average",":",""
"1995M01","US dollar","National currency","Average","1.2408",""
"1995M02","Icelandic krona","National currency","Average",":",""
"1995M02","US dollar","National currency","Average","1.2587",""
"1995M03","Icelandic krona","National currency","Average",":",""
"1995M03","US dollar","National currency","Average","1.3171",""
"1995M04","Icelandic krona","National currency","Average",":",""
"1995M04","US dollar","National currency","Average","1.3414",""
"1995M05","Icelandic krona","National currency","Average",":",""
"1995M05","US dollar","National currency","Average","1.3216",""
"1995M06","Icelandic krona","National currency","Average",":",""
"1995M06","US dollar","National currency","Average","1.3314",""
"1995M07","Icelandic krona","National currency","Average",":",""
"1995M07","US dollar","National currency","Average","1.3448",""
"1995M08","Icelandic krona","National currency","Average",":",""
"1995M08","US dollar","National currency","Average","1.3044",""
"1995M09","Icelandic krona","National currency","Average",":",""
"1995M09","US dollar","National currency","Average","1.2888",""
"1995M10","Icelandic krona","National currency","Average",":",""
"1995M10","US dollar","National currency","Average","1.3222",""
"1995M11","Icelandic krona","National currency","Average",":",""
"1995M11","US dollar","National currency","Average","1.3238",""
"1995M12","Icelandic krona","National currency","Average",":",""
"1995M12","US dollar","National currency","Average","1.3043",""
"1996M01","Icelandic krona","National currency","Average",":",""
"1996M01","US dollar","National currency","Average","1.2918",""
"1996M02","Icelandic krona","National currency","Average",":",""
"1996M02","US dollar","National currency","Average","1.2886",""
"1996M03","Icelandic krona","National currency","Average",":",""
"1996M03","US dollar","National currency","Average","1.2813",""
"1996M04","Icelandic krona","National currency","Average",":",""
"1996M04","US dollar","National currency","Average","1.2639",""
"1996M05","Icelandic krona","National currency","Average",":",""
"1996M05","US dollar","National currency","Average","1.2467",""
"1996M06","Icelandic krona","National currency","Average",":",""
"1996M06","US dollar","National currency","Average","1.2529",""
"1996M07","Icelandic krona","National currency","Average",":",""
"1996M07","US dollar","National currency","Average","1.2706",""
"1996M08","Icelandic krona","National currency","Average",":",""
"1996M08","US dollar","National currency","Average","1.2832",""
"1996M09","Icelandic krona","National currency","Average",":",""
"1996M09","US dollar","National currency","Average","1.2691",""
"1996M10","Icelandic krona","National currency","Average",":",""
"1996M10","US dollar","National currency","Average","1.2584",""
"1996M11","Icelandic krona","National currency","Average",":",""
"1996M11","US dollar","National currency","Average","1.2769",""
"1996M12","Icelandic krona","National currency","Average",":",""
"1996M12","US dollar","National currency","Average","1.2503",""
"1997M01","Icelandic krona","National currency","Average",":",""
"1997M01","US dollar","National currency","Average","1.2162",""
"1997M02","Icelandic krona","National currency","Average",":",""
"1997M02","US dollar","National currency","Average","1.1658",""
"1997M03","Icelandic krona","National currency","Average",":",""
"1997M03","US dollar","National currency","Average","1.1498",""
"1997M04","Icelandic krona","National currency","Average",":",""
"1997M04","US dollar","National currency","Average","1.1450",""
"1997M05","Icelandic krona","National currency","Average",":",""
"1997M05","US dollar","National currency","Average","1.1493",""
"1997M06","Icelandic krona","National currency","Average",":",""
"1997M06","US dollar","National currency","Average","1.1366",""
"1997M07","Icelandic krona","National currency","Average",":",""
"1997M07","US dollar","National currency","Average","1.1049",""
"1997M08","Icelandic krona","National currency","Average",":",""
"1997M08","US dollar","National currency","Average","1.0727",""
"1997M09","Icelandic krona","National currency","Average",":",""
"1997M09","US dollar","National currency","Average","1.0999",""
"1997M10","Icelandic krona","National currency","Average",":",""
