Date,Total number of license issued,lowest price ,avg price,Total number of applicants
Jan-02,1400,13600,14735,3718
Feb-02,1800,13100,14057,4590
Mar-02,2000,14300,14662,5190
Apr-02,2300,16000,16334,4806
May-02,2350,17800,18357,4665
Jun-02,2800,19600,20178,4502
Jul-02,3000,19800,20904,3774
Aug-02,3000,21000,21601,4640
Sep-02,3200,23600,24040,4393
Oct-02,3200,26400,27040,4661
Nov-02,3200,30800,31721,4021
Dec-02,3600,27800,27848,3525
Jan-03,3000,18800,24267,9442
Feb-03,3000,23800,25254,12030
Mar-03,3000,28800,29551,11219
Apr-03,3300,34100,34845,8794
May-03,3800,35000,36903,14634
Jun-03,5500,36100,37667,15507
Jul-03,6000,36900,38269,11929
Aug-03,4500,38500,39369,9315
Sep-03,6650,28800,38728,8532
Oct-03,4500,32800,34842,9383
Nov-03,5042,33100,34284,9849
Dec-03,4776,37100,38054,10491
Jan-04,5000,38000,39516,8663
Feb-04,4800,39600,40053,10156
Mar-04,4800,43000,43333,9950
Apr-04,5500,44200,45492,8150
May-04,6527,10800,34226,8114
Jun-04,6233,17800,21001,19233
Jul-04,6600,21800,23544,14464
Aug-04,6800,25100,25991,15506
Sep-04,6640,29300,30033,10634
Oct-04,6600,28000,29768,9519
Nov-04,6600,26000,27620,9188
Dec-04,5500,29300,30282,9005
Jan-05,5500,28500,32520,6208
Feb-05,3800,31700,32425,8949
Mar-05,4000,34300,34684,9117
Apr-05,5000,36800,37355,8113
May-05,5833,35000,35661,9673
Jun-05,5690,37000,37479,8409
Jul-05,6326,37900,38378,8777
Aug-05,6829,25000,35905,7520
Sep-05,6700,26500,28927,10972
Oct-05,6000,25200,26385,11167
Nov-05,5700,29800,30320,13633
Dec-05,5700,35200,36749,8351
Jan-06,5000,26900,31220,5907
Feb-06,3800,34200,34887,12367
Mar-06,4500,38500,38932,8904
Apr-06,5000,37500,38326,7888
May-06,4500,37700,38139,8301
Jun-06,4500,39500,39752,8478
Jul-06,5500,39600,39966,8966
Aug-06,6200,39900,40459,9190
Sep-06,6500,37000,41601,7064
Oct-06,6500,36300,37899,11237
Nov-06,6000,37800,38460,110234
Dec-06,6500,39800,40518,9477
Jan-07,6000,38500,40974,6587
Feb-07,3500,39100,40473,5056
Mar-07,4000,41100,41573,10168
Apr-07,5500,43300,43623,10523
May-07,6000,44500,44853,10273
Jun-07,6000,47200,47711,11478
Jul-07,5500,45200,46581,10327
Aug-07,8000,46500,46897,12943
Sep-07,8500,48600,49631,10561
Oct-07,7500,50500,51000,10715
Nov-07,7500,53800,54317,10596
Dec-07,7500,50000,56042,10356
Jan-08,16000,8100,23370,20539
Mar-08,9300,31300,32169,63534
Apr-08,9000,37300,37659,37072
May-08,8200,34400,36047,26341
Jun-08,7700,33900,34947,21208
Jul-08,6800,33800,34491,16783
Aug-08,6000,35900,36460,13451
Sep-08,6500,29300,31788,11002
Oct-08,5000,32600,33224,11882
Nov-08,5500,21800,24351,10170
Dec-08,4500,31000,31665,16801
Jan-09,5200,28600,29399,16544
Feb-09,5200,33000,33394,16848
Mar-09,6000,26600,27552,18575
Apr-09,6500,28300,28724,17654
May-09,7200,28500,29100,16471
Jun-09,8000,30000,30363,17433
Jul-09,8000,32100,32522,17220
Aug-09,8000,36000,36231,18750
Sep-09,8500,27200,29500,14906
Oct-09,8000,33900,34402,22006
Nov-09,8000,34900,35317,21902
Dec-09,8000,36900,37593,18577
Jan-10,8000,37800,38311,18975
Feb-10,7500,38300,38620,18810
Mar-10,8000,39600,39882,17704
Apr-10,8500,41000,41637,17313
May-10,8500,41900,42262,16324
Jun-10,9200,39200,40380,16252
Jul-10,9000,38400,39362,13389
Aug-10,9000,39800,40169,16855
Sep-10,9000,41800,42180,15198
Oct-10,9000,43000,43271,14941
Nov-10,8500,44900,45291,13429
Dec-10,9000,10400,15970,11224
Jan-11,8000,38300,38771,30675
Feb-11,7500,44200,44627,25104
Mar-11,8000,46200,46657,25014
Apr-11,8000,46300,47399,22326
May-11,9000,47400,47700,25708
Jun-11,9000,48500,48855,22474
Jul-11,9000,50900,51174,21852
Aug-11,9000,51000,52228,21544
Sep-11,9500,52200,52622,22268
Oct-11,9000,53800,54008,19415
Nov-11,9000,45700,47635,20050
Dec-11,8500,51000,51437,26531
Jan-12,8000,52800,53195,24354
Feb-12,8000,55400,55632,23391
Mar-12,8000,58300,58625,24897
Apr-12,8500,61000,61626,22706
May-12,9300,64000,64367,24230
Jun-12,9500,55800,58227,24774
Jul-12,9500,57700,58271,26526
Aug-12,9500,62100,62559,21425
Sep-12,9500,65700,66425,19114
Oct-12,9500,65200,66708,19921
Nov-12,9500,66400,66946,19120
Dec-12,9500,68900,69346,18244
Jan-13,9000,75000,75332,20857
Feb-13,9000,83300,83571,24651
Mar-13,9000,90800,91898,23589
Apr-13,11000,83900,84101,26174
May-13,9000,80700,80803,22224
Jun-13,9000,77600,77823,21482
Jul-13,9000,76300,76465,21811
Aug-13,9000,74700,74939,22650
Sep-13,9000,73400,73492,35154
Oct-13,10000,82300,83723,28887
Nov-13,8500,75500,75717,38220
Dec-13,8500,76000,76093,39625
Jan-14,8100,73500,73501,41946
Feb-14,7400,73200,73357,45758
Mar-14,7400,73800,73872,61853
Apr-14,8200,74000,74113,94241
May-14,7400,74400,74503,114121
Jun-14,7400,73800,73896,135677
Jul-14,7400,74600,74680,136098
Aug-14,7400,73600,73785,121550
Sep-14,8300,73800,73875,122219
Oct-14,7400,74000,74075,105532
Nov-14,7400,73500,73633,95595
Dec-14,7447,73600,73687,96972
Jan-15,7990,74000,74216,98203
Feb-15,7653,76500,76618,103224
Mar-15,7406,74600,74830,132690
Apr-15,8288,80600,80759,152298
